id,spkid,target_initials_1,target_initials_2,target_initials_3,spoken_initials_1,spoken_initials_2,spoken_initials_3,target_consonants_1,target_consonants_2,target_consonants_3,spoken_consonants1,spoken_consonants2,spoken_consonants3,target_tones_1,target_tones_2,target_tones_3,spoken_tones_1,spoken_tones_2,spoken_tones_3
1,36,t,t,t,t,t,t,a,a,a,a,a,a,3,3,3,2,3,3
2,36,t,t,t,t,t,t,a,a,a,a,a,a,3,3,3,2,3,3
3,36,ch,ch,ch,ch,ch,ch,a,a,a,a,a,a,2,2,2,2,2,2
4,36,l,l,l,l,l,l,a,a,a,a,a,a,1,1,1,2,1,1
5,36,s,s,s,s,s,s,uo,uo,uo,uo,uo,uo,3,3,3,4,4,4
6,36,l,l,l,l,l,l,a,a,a,a,a,a,1,1,1,4,4,4
7,36,s,s,s,s,s,s,uo,uo,uo,uo,uo,uo,3,3,3,4,3,4
8,36,l,l,l,l,l,l,a,a,a,a,a,a,1,1,1,1,1,1
9,36,s,s,s,s,s,s,uo,uo,uo,uo,uo,uo,3,3,3,3,3,3
10,36,l,l,l,l,l,l,a,a,a,a,a,a,1,1,1,1,1,1
11,36,s,s,s,s,s,s,uo,uo,uo,uo,uo,uo,3,3,3,3,3,3
12,36,sh,sh,sh,sh,sh,sh,a,a,a,a,a,a,1,1,1,1,1,1
13,36,f,f,f,f,f,f,a,a,a,a,a,a,1,1,1,1,1,1
14,36,n,n,n,n,n,n,iu,iu,iu,iu,iu,iu,2,2,2,2,2,2
15,36,n,n,n,n,n,n,ai,ai,ai,ai,ai,ai,3,3,3,3,3,3
16,36,c,c,c,c,c,c,ai,ai,ai,ai,ai,ai,4,4,4,4,4,4
17,36,c,c,c,c,c,c,ai,ai,ai,ai,ai,ai,3,3,3,3,3,3
18,36,h,h,h,h,h,h,ong,ong,ong,*,ong,ong,2,2,2,2,2,2
19,36,c,c,c,c,c,c,an,an,an,an,an,an,2,2,2,2,2,2
20,36,c,c,c,c,c,c,an,an,an,an,an,an,2,2,2,2,2,2
21,36,c,c,c,c,c,c,an,an,an,an,an,an,1,1,1,1,1,1
22,36,j,j,j,j,j,j,v,v,v,v,v,v,4,4,4,4,4,4
23,36,zh,zh,zh,zh,zh,zh,ang,ang,ang,ang,ang,ang,4,4,4,4,4,4
24,36,p,p,p,p,p,p,eng,eng,eng,*,eng,eng,5,5,5,5,5,5
25,36,p,p,p,p,p,p,ang,ang,ang,ang,ang,ang,2,2,2,2,2,2
26,36,x,x,x,x,x,x,ie,ie,ie,ie,ie,ie,4,4,4,4,4,4
27,36,t,t,t,p,t,t,ang,ang,ang,ang,ang,ang,2,2,2,2,2,2
28,36,l,l,l,l,l,l,ang,ang,ang,ang,ang,ang,2,2,2,2,2,2
29,36,c,c,c,c,c,c,ao,ao,ao,ao,ao,ao,3,3,3,3,3,3
30,36,g,g,g,g,g,g,uo,uo,uo,uo,uo,uo,1,1,1,*,1,1
31,36,z,z,z,z,z,z,ao,ao,ao,ao,ao,ao,4,4,4,4,4,4
32,36,z,z,z,z,z,z,ao,ao,ao,ao,ao,ao,4,4,4,4,4,4
33,36,b,b,b,b,b,b,ing,ing,ing,*,ing,ing,3,3,3,3,3,3
34,36,b,b,b,b,b,b,ing,ing,ing,ing,ing,ing,3,3,3,3,3,3
35,36,零,零,零,零,零,零,iang,iang,iang,iang,iang,iang,2,2,2,2,2,2
36,36,c,c,c,c,c,c,ong,ong,ong,ong,ong,ong,1,1,1,1,1,1
37,36,d,d,d,d,d,d,a,a,a,a,a,a,4,4,4,4,4,4
38,36,c,c,c,c,c,c,ong,ong,ong,ong,ong,ong,1,1,1,1,1,1
39,36,d,d,d,d,d,d,a,a,a,a,a,a,4,4,4,4,4,4
40,36,c,c,c,c,c,c,ong,ong,ong,ong,ong,ong,1,1,1,1,1,1
41,36,零,零,零,零,零,零,iang,iang,iang,iang,iang,iang,2,2,2,2,2,2
42,36,c,c,c,c,c,c,ong,ong,ong,ong,ong,ong,1,1,1,1,1,1
43,36,零,零,零,零,零,零,iang,iang,iang,iang,iang,iang,2,2,2,2,2,2
44,36,c,c,c,c,c,c,ong,ong,ong,ong,ong,ong,1,1,1,1,1,1
45,36,ch,ch,ch,ch,ch,ch,eng,eng,eng,*,eng,eng,2,2,2,2,2,2
46,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,5
47,36,ch,ch,ch,ch,ch,ch,eng,eng,eng,en,eng,eng,4,4,4,4,4,4
48,36,ch,ch,ch,ch,ch,ch,eng,eng,eng,en,eng,eng,4,4,4,4,4,4
49,36,n,n,n,n,n,n,ong,ong,ong,ong,ong,ong,2,2,2,2,2,2
50,36,ch,ch,ch,ch,ch,ch,ang,ang,ang,ang,ang,ang,3,3,3,2,3,2
51,36,n,n,n,n,n,n,ong,ong,ong,ong,ong,ong,2,2,2,2,2,2
52,36,ch,ch,ch,ch,ch,ch,ang,ang,ang,ang,ang,ang,3,3,3,2,3,2
53,36,d,d,d,d,d,d,an,an,an,an,an,an,4,4,4,4,4,4
54,36,g,g,g,g,g,g,ao,ao,ao,ao,ao,ao,1,1,1,1,1,1
55,36,d,d,d,d,d,d,ao,ao,ao,ao,ao,ao,1,1,1,1,1,1
56,36,d,d,d,d,d,d,u,u,u,u,u,u,4,4,4,4,4,4
57,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,5
58,36,d,d,d,d,d,d,ong,ong,ong,ong,ong,ong,4,4,4,4,4,4
59,36,零,零,零,零,零,零,u,u,u,u,u,u,4,4,4,4,4,4
60,36,d,d,d,d,d,d,ong,ong,ong,*,ong,ong,4,4,4,4,4,4
61,36,零,零,零,零,零,零,u,u,u,u,u,u,4,4,4,4,4,4
62,36,d,d,d,d,d,d,ong,ong,ong,ong,ong,ong,4,4,4,4,4,4
63,36,零,零,零,零,零,零,u,u,u,u,u,u,4,4,4,4,4,4
64,36,ch,ch,ch,ch,ch,ch,e,e,e,e,e,e,1,1,1,1,1,1
65,36,零,零,零,零,零,零,e,e,e,e,e,e,4,4,4,4,4,4
66,36,零,零,零,零,零,零,v,v,v,v,v,v,2,2,2,2,2,2
67,36,零,零,零,零,零,零,e,e,e,e,e,e,2,2,2,2,2,2
68,36,h,h,h,h,h,h,ei,ei,ei,ei,ei,ei,1,1,1,1,1,1
69,36,f,f,f,f,f,f,en,en,en,en,en,en,3,3,3,2,3,3
70,36,b,b,b,b,b,b,i,i,i,i,i,i,3,3,3,3,3,3
71,36,zh,zh,zh,zh,zh,zh,en,en,en,en,en,en,1,1,1,1,1,1
72,36,r,r,r,r,r,r,en,en,en,en,en,en,2,2,2,2,2,2
73,36,f,f,f,f,f,f,eng,eng,eng,*,eng,eng,1,1,1,1,1,1
74,36,零,零,零,零,零,零,er,er,er,er,er,er,4,4,4,4,4,4
75,36,零,零,零,零,零,零,er,er,er,er,er,er,3,3,3,3,3,3
76,36,d,d,d,d,d,d,uo,uo,uo,uo,uo,uo,5,5,5,5,5,5
77,36,m,m,m,m,m,m,u,u,u,o,u,u,4,4,4,4,4,4
78,36,零,零,零,零,零,零,er,er,er,er,er,er,3,3,3,3,3,3
79,36,f,f,f,f,f,f,u,u,u,u,u,u,3,3,3,3,3,3
80,36,t,t,t,t,t,t,ou,ou,ou,ou,ou,ou,5,5,5,5,5,2
81,36,g,g,g,g,g,g,ang,ang,ang,ang,ang,ang,1,1,1,1,1,1
82,36,q,q,q,j,q,q,in,in,in,in,in,in,2,2,2,2,2,2
83,36,g,g,g,g,g,g,ou,ou,ou,ou,ou,ou,3,3,3,3,3,3
84,36,d,d,d,d,d,d,eng,eng,eng,eng,eng,eng,1,1,1,1,1,1
85,36,g,g,g,g,g,g,uang,uang,uang,uang,uang,uang,1,1,1,1,1,1
86,36,g,g,g,g,g,g,uang,uang,uang,uang,uang,uang,1,1,1,1,1,1
87,36,h,h,h,h,h,h,uo,uo,uo,uo,uo,uo,3,3,3,3,3,3
88,36,h,h,h,h,h,h,uo,uo,uo,uo,uo,uo,3,3,3,3,3,3
89,36,m,m,m,m,m,m,a,a,a,a,a,a,3,3,3,3,3,3
90,36,零,零,零,零,零,零,i,i,i,i,i,i,3,3,3,3,3,3
91,36,b,b,b,b,b,b,i,i,i,i,i,i,3,3,3,3,3,3
92,36,b,b,b,b,b,b,i,i,i,i,i,i,3,3,3,3,3,3
93,36,m,m,m,m,m,m,i,i,i,i,i,i,3,3,3,3,3,3
94,36,x,x,x,x,x,x,ia,ia,ia,ia,ia,ia,1,1,1,1,1,1
95,36,d,d,d,d,d,d,ian,ian,ian,ian,ian,ian,4,4,4,4,4,4
96,36,ch,ch,ch,ch,ch,ch,i,i,i,*,i,i,2,2,2,2,2,2
97,36,j,j,j,j,j,j,ian,ian,ian,ian,ian,ian,3,3,3,3,3,3
98,36,d,d,d,d,d,d,ao,ao,ao,ao,ao,ao,1,1,1,1,1,1
99,36,l,l,l,l,l,l,ian,ian,ian,*,ian,ian,3,3,3,3,3,3
100,36,b,b,b,b,b,b,ian,ian,ian,ian,ian,ian,1,1,1,1,1,1
101,36,p,p,p,p,p,p,ao,ao,ao,ao,ao,ao,4,4,4,4,4,4
102,36,零,零,零,零,零,零,iang,iang,iang,iang,iang,iang,2,2,2,2,2,2
103,36,j,j,j,*,j,j,iang,iang,iang,iang,iang,iang,1,1,1,1,1,1
104,36,j,j,j,*,j,j,iang,iang,iang,iang,iang,iang,1,1,1,1,1,1
105,36,j,j,j,*,j,j,iang,iang,iang,iang,iang,iang,1,1,1,1,1,1
106,36,q,q,q,*,q,q,iao,iao,iao,iao,iao,iao,2,2,2,2,2,2
107,36,sh,sh,sh,sh,sh,sh,ou,ou,ou,ou,ou,ou,3,3,3,3,3,3
108,36,b,b,b,b,b,b,iao,iao,iao,iao,iao,iao,3,3,3,3,3,3
109,36,sh,sh,sh,sh,sh,sh,ou,ou,ou,ou,ou,ou,3,3,3,3,3,3
110,36,b,b,b,b,b,b,iao,iao,iao,iao,iao,iao,3,3,3,3,3,3
111,36,p,p,p,p,p,p,iao,iao,iao,iao,iao,iao,4,4,4,4,4,4
112,36,x,x,x,x,x,x,ie,ie,ie,ie,ie,ie,2,2,2,2,2,2
113,36,q,q,q,q,q,q,vn,vn,vn,vn,vn,vn,2,2,2,2,2,2
114,36,z,z,z,z,z,z,i,i,i,i,i,i,5,5,5,5,5,5
115,36,c,c,c,c,c,c,i,i,i,i,i,i,4,4,4,4,4,4
116,36,零,零,零,零,零,零,ui,ui,ui,ui,ui,ui,5,5,5,5,5,5
117,36,s,s,s,s,c,s,i,i,i,i,i,i,1,1,1,4,4,4
118,36,j,j,j,j,j,j,i,i,i,i,i,i,1,1,1,1,1,1
119,36,s,s,s,s,c,s,i,i,i,i,i,i,1,1,1,4,4,4
120,36,j,j,j,j,j,j,i,i,i,i,i,i,1,1,1,1,1,1
121,36,s,s,s,s,s,s,i,i,i,i,i,i,1,1,1,4,4,4
122,36,j,j,j,j,j,j,i,i,i,i,i,i,1,1,1,1,1,1
123,36,s,s,s,s,s,s,i,i,i,i,i,i,1,1,1,4,4,4
124,36,j,j,j,j,j,j,i,i,i,i,i,i,1,1,1,1,1,1
125,36,zh,zh,zh,zh,zh,zh,i,i,i,i,i,i,1,1,1,1,1,1
126,36,zh,zh,zh,zh,zh,zh,u,u,u,u,u,u,1,1,1,1,1,1
127,36,zh,zh,zh,zh,zh,zh,i,i,i,i,i,i,3,3,3,3,3,3
128,36,p,p,p,p,p,p,in,in,in,in,in,in,1,1,1,1,1,1
