测试ID,儿童编号,测试序号,性别,测试月龄,测试月龄分类(分16类),测试月龄分类(分6类),开始说话月龄,测试试卷号,父亲籍贯,母亲籍贯,籍贯
38B41123AADD4C8AA8DBFA085A9F4C31,XJYL-MLD-20220420-39,1,男,70,66-71个月,60-72m,13,6-阶段六,新疆,新疆,非京
C872324BFC714C229662F57814B6D673,XJYL-MLD-20220524-110,1,男,48,48-53个月,42-59m,13,5-阶段五,新疆,新疆,非京
E1DA52BFD78946C18E264601EDF53EDC,XJYL-MLD-20220524-112,1,男,48,48-53个月,42-59m,14,5-阶段五,新疆,新疆,非京
06D35A07542B4A9E898F2A4A3D7487B8,XJYL-MLD-20220524-113,1,男,46,42-47个月,42-59m,15,5-阶段五,新疆,新疆,非京
3B083F206B7748A594C002278F26EBBD,XJYL-MLD-20220524-115,1,女,49,48-53个月,42-53m,13,5-阶段五,新疆,新疆,非京
8575FC2A19724D4DBB1B91E544FE46CB,XJYL-MLD-20220525-116,1,女,70,66-71个月,54-72m,14,6-阶段六,新疆,新疆,非京
ED02F7AE79BC4770BD88C784837F0468,XJYL-MLD-20220525-117,1,女,71,66-71个月,54-72m,14,6-阶段六,新疆,新疆,非京
3999563C599D49BDB56E5E7EE3DBF583,XJYL-MLD-20220526-118,1,男,98,72个月以上,60-72m,14,6-阶段六,新疆,新疆,非京
E0BBBC61C3914931AFE86D4CA24498C0,XJYL-MLD-20220526-119,1,女,97,72个月以上,54-72m,15,6-阶段六,新疆,新疆,非京
2EB10331ADFB45DEB5F913A29024F791,XJYL-MLD-20220526-120,1,女,70,66-71个月,54-72m,15,6-阶段六,新疆,新疆,非京
F8004E6F1D2A45C182368574E094EAE1,XJYL-MLD-20220526-121,1,女,95,72个月以上,54-72m,15,6-阶段六,新疆,新疆,非京
32CAEA13C6EA411C91CEE59DF95B2011,XJYL-MLD-20220526-122,1,男,67,66-71个月,60-72m,16,6-阶段六,新疆,新疆,非京
5AA70D2365D7409CA465FDE8EB253BD8,XJYL-MLD-20220526-124,1,男,51,48-53个月,42-59m,14,5-阶段五,新疆,新疆,非京
02E4D0729D0B4BFAA563BA9CB014BF6C,XJYL-MLD-20220526-125,1,女,47,42-47个月,42-53m,14,5-阶段五,新疆,新疆,非京
CC7E8F77C8D84655BF7C8B8F5B61F0AF,XJYL-MLD-20220527-126,1,男,66,66-71个月,60-72m,15,6-阶段六,新疆,新疆,非京
F9AE38B9E70B4300937D8B93A46A25F5,XJYL-MLD-20220530-127,1,男,92,72个月以上,60-72m,15,6-阶段六,新疆,新疆,非京
08DC3981DE5C49CFBCD4964D0164507F,XJYL-MLD-20220530-128,1,女,97,72个月以上,54-72m,14,6-阶段六,新疆,新疆,非京
6C1555EB7459498A8DCA53DDE567848D,XJYL-MLD-20220531-129,1,女,71,66-71个月,54-72m,12,6-阶段六,新疆,新疆,非京
315B7FC1B17544C18A4AC7C64B55DBF0,XJYL-MLD-20220531-130,1,女,73,72个月以上,54-72m,14,6-阶段六,新疆,新疆,非京
37A001AA4DE14A95A39A7E8A03C94798,XJYL-MLD-20220531-132,1,女,69,66-71个月,54-72m,14,6-阶段六,新疆,新疆,非京
08C958452FB943A7B390F53BCF7A1675,XJYL-MLD-20220602-133,1,女,100,72个月以上,54-72m,15,6-阶段六,新疆,新疆,非京
A160CC7DDD9540EE943CC27C838C1FFA,XJYL-MLD-20220602-134,1,女,71,66-71个月,54-72m,13,6-阶段六,新疆,新疆,非京
B146941D09A24EDEB05A7DD769466669,XJYL-MLD-20220602-135,1,女,73,72个月以上,54-72m,13,6-阶段六,新疆,新疆,非京
B396F54EAD6C409284E526F9A37527F4,XJYL-MLD-20220602-136,1,女,70,66-71个月,54-72m,14,6-阶段六,新疆,新疆,非京
2F27CCEF62A44EC7925E05C00AF5A9E9,XJYL-MLD-20220602-138,1,女,50,48-53个月,42-53m,14,5-阶段五,新疆,新疆,非京
